omega,F=1.00,F=3.12,F=5.24,F=7.35,F=9.47,F=11.59,F=13.71,F=15.82,F=17.94,F=20.06,F=22.18,F=24.29,F=26.41,F=28.53,F=30.65,F=32.76,F=34.88,F=37.00
0.924174,0.878000,1.608853,2.057946,2.425905,2.715610,2.858255,2.953508,3.057276,3.169710,3.289681,3.413508,3.541583,3.669603,3.800550,3.929252,4.055202,4.176300,4.287170
0.925174,0.878120,1.609034,2.057877,2.425701,2.716481,2.860580,2.955184,3.058581,3.170941,3.290348,3.413715,3.541183,3.669617,3.799604,3.928126,4.054665,4.175389,4.286845
0.926175,0.878236,1.609159,2.057704,2.425630,2.717253,2.862774,2.956736,3.059643,3.171854,3.290658,3.413987,3.540706,3.669249,3.798490,3.926912,4.053430,4.174332,4.286263
0.927175,0.878364,1.609323,2.057648,2.425481,2.717970,2.864930,2.958595,3.060880,3.172711,3.291054,3.414119,3.540378,3.668762,3.797859,3.925745,4.052411,4.173208,4.286020
0.928175,0.878488,1.609511,2.057602,2.425307,2.718622,2.867004,2.960504,3.062320,3.173597,3.291582,3.414258,3.539876,3.668321,3.797118,3.924858,4.051646,4.171805,4.285660
0.929175,0.878599,1.609658,2.057480,2.425084,2.719190,2.868929,2.962288,3.063617,3.174417,3.292057,3.414315,3.539073,3.667778,3.795966,3.923791,4.050747,4.170593,4.284855
0.930175,0.878720,1.609817,2.057390,2.424944,2.719965,2.871157,2.964091,3.064887,3.175274,3.292455,3.414425,3.538854,3.667203,3.795187,3.923264,4.049658,4.170335,4.284617
0.931176,0.878839,1.609972,2.057292,2.424730,2.720622,2.873491,2.965819,3.066094,3.175982,3.292780,3.414328,3.538932,3.666350,3.794386,3.922420,4.048392,4.169756,4.284164
0.932176,0.878955,1.610122,2.057183,2.424467,2.721140,2.875762,2.967502,3.067274,3.176638,3.293087,3.414146,3.538773,3.665554,3.793503,3.921319,4.047060,4.168815,4.283453
0.933176,0.879071,1.610283,2.057094,2.424322,2.721770,2.878028,2.969490,3.068741,3.177714,3.293719,3.414504,3.538535,3.665410,3.792621,3.920555,4.046380,4.167822,4.283084
0.934176,0.879180,1.610424,2.056968,2.424110,2.722326,2.880258,2.971410,3.070119,3.178692,3.294216,3.414753,3.538132,3.665039,3.791540,3.919570,4.045412,4.166457,4.282444
0.935176,0.879293,1.610578,2.056867,2.423873,2.722812,2.882506,2.973276,3.071463,3.179577,3.294685,3.414878,3.537814,3.664523,3.790669,3.918544,4.044350,4.165176,4.281832
0.936176,0.879418,1.610769,2.056833,2.423662,2.723230,2.884641,2.975095,3.072755,3.180412,3.295167,3.414893,3.537789,3.663889,3.790271,3.917651,4.043256,4.164425,4.281238
0.937177,0.879534,1.610944,2.056764,2.423402,2.723580,2.886713,2.976874,3.073878,3.181175,3.295486,3.414810,3.537605,3.663028,3.789664,3.916558,4.041811,4.163401,4.279442
0.938177,0.879649,1.611117,2.056694,2.423168,2.723962,2.888937,2.978795,3.075350,3.182134,3.295985,3.414690,3.537685,3.662512,3.788991,3.915599,4.040728,4.162956,4.279188
0.939177,0.879764,1.611291,2.056629,2.422886,2.724163,2.890967,2.980642,3.076705,3.182739,3.296652,3.415068,3.537557,3.662281,3.788586,3.914180,4.039974,4.162288,4.278704
0.940177,0.879875,1.611456,2.056547,2.422475,2.724380,2.892792,2.982083,3.078153,3.183765,3.297245,3.415345,3.536894,3.661926,3.787667,3.912722,4.039051,4.160742,4.278001
0.941177,0.879989,1.611647,2.056501,2.422279,2.725021,2.895142,2.984284,3.079694,3.184959,3.297774,3.415697,3.536451,3.661531,3.786715,3.912558,4.037991,4.159374,4.277323
0.942178,0.880091,1.611817,2.056407,2.422221,2.725412,2.897418,2.986411,3.081056,3.185948,3.298241,3.415731,3.536762,3.660900,3.785818,3.911964,4.036759,4.158126,4.276041
0.943178,0.880188,1.611949,2.056233,2.422017,2.725457,2.899599,2.988368,3.082209,3.186671,3.298649,3.415656,3.536732,3.660244,3.785008,3.910767,4.035405,4.157233,4.274612
0.944178,0.880308,1.612149,2.056251,2.421848,2.725676,2.901784,2.990408,3.083868,3.187786,3.299331,3.416167,3.536759,3.660018,3.784511,3.910078,4.034593,4.156393,4.274340
0.945178,0.880410,1.612345,2.056129,2.421654,2.725803,2.903915,2.992381,3.085464,3.188945,3.299794,3.416419,3.536722,3.659454,3.783891,3.909340,4.033322,4.155364,4.273586
0.946178,0.880494,1.612495,2.056060,2.421429,2.725898,2.906031,2.994292,3.086921,3.189948,3.300110,3.416463,3.536621,3.658650,3.783200,3.908498,4.031732,4.154215,4.272416
0.947179,0.880599,1.612692,2.056042,2.421167,2.726311,2.908319,2.996389,3.088395,3.190945,3.300805,3.416737,3.536521,3.658330,3.782791,3.907538,4.030838,4.153486,4.271515
0.948179,0.880719,1.612854,2.055965,2.420841,2.726616,2.910403,2.998396,3.089790,3.191868,3.301452,3.416949,3.536187,3.657945,3.782057,3.906444,4.029837,4.152333,4.270381
0.949179,0.880820,1.613010,2.055870,2.420549,2.726820,2.912363,3.000377,3.091202,3.192817,3.302049,3.417142,3.535876,3.657493,3.781239,3.905403,4.028725,4.151056,4.269199
0.950179,0.880924,1.613215,2.055844,2.420424,2.727009,2.914591,3.002381,3.092864,3.194004,3.302598,3.417396,3.536105,3.656948,3.780815,3.904773,4.027481,4.150210,4.268398
0.951179,0.881027,1.613409,2.055791,2.420237,2.727142,2.916740,3.004208,3.094448,3.195094,3.303057,3.417531,3.536209,3.656259,3.780229,3.903909,4.026034,4.149087,4.267328
0.952179,0.881114,1.613589,2.055724,2.420001,2.727305,2.918663,3.006037,3.095997,3.196167,3.303689,3.417784,3.536166,3.655816,3.779564,3.903016,4.024912,4.147880,4.266284
0.953180,0.881215,1.613759,2.055655,2.419713,2.727461,2.920590,3.008456,3.097461,3.197222,3.304630,3.418278,3.536001,3.655846,3.778911,3.902188,4.024411,4.146798,4.265320
0.954180,0.881310,1.613915,2.055560,2.419394,2.727414,2.922520,3.010721,3.098877,3.198112,3.305434,3.418619,3.535741,3.655712,3.778111,3.901101,4.023657,4.145503,4.263907
0.955180,0.881401,1.614100,2.055498,2.419170,2.727421,2.924715,3.012883,3.100504,3.199142,3.306178,3.418955,3.535756,3.655461,3.777486,3.900183,4.022746,4.144304,4.262670
0.956180,0.881486,1.614308,2.055457,2.419006,2.727636,2.926832,3.015103,3.102209,3.200510,3.306955,3.419387,3.535964,3.655196,3.776930,3.899591,4.021829,4.143007,4.261897
0.957180,0.881569,1.614489,2.055357,2.418735,2.727596,2.928846,3.017281,3.103661,3.201654,3.307691,3.419762,3.535907,3.654872,3.776031,3.898882,4.020818,4.141170,4.261032
0.958181,0.881674,1.614664,2.055266,2.418442,2.727459,2.930708,3.019408,3.105087,3.202703,3.308508,3.420155,3.535798,3.654757,3.775214,3.898042,4.020045,4.139577,4.259809
0.959181,0.881779,1.614844,2.055201,2.418170,2.727337,2.932421,3.021473,3.106592,3.203774,3.309183,3.420365,3.535742,3.654558,3.774567,3.897109,4.019103,4.139391,4.258510
0.960181,0.881868,1.615013,2.055119,2.417861,2.727497,2.934354,3.023463,3.108478,3.204781,3.309688,3.420600,3.535600,3.653964,3.774168,3.896077,4.017595,4.138601,4.257040
0.961181,0.881956,1.615176,2.055114,2.417638,2.727561,2.936356,3.025600,3.110253,3.205897,3.310604,3.421088,3.535518,3.653719,3.773844,3.895194,4.016789,4.137647,4.255508
0.962181,0.882049,1.615367,2.055099,2.417466,2.727590,2.938278,3.028000,3.112024,3.207253,3.311379,3.421401,3.535761,3.653743,3.773493,3.893921,4.016105,4.136750,4.254205
0.963182,0.882136,1.615572,2.055071,2.417270,2.727560,2.939907,3.030311,3.113741,3.208566,3.311724,3.421254,3.535958,3.653244,3.773067,3.892829,4.014679,4.135721,4.253409
0.964182,0.882213,1.615799,2.055047,2.417072,2.727384,2.941383,3.032506,3.115346,3.209864,3.312377,3.421810,3.536230,3.652670,3.772554,3.892767,4.013194,4.134502,4.252850
0.965182,0.882286,1.615987,2.054973,2.416789,2.727124,2.943612,3.034558,3.116862,3.211008,3.313668,3.422685,3.536165,3.652325,3.771937,3.892296,4.012412,4.133109,4.251471
0.966182,0.882375,1.616149,2.054896,2.416492,2.727147,2.945158,3.036644,3.118486,3.212104,3.314445,3.423015,3.536144,3.652481,3.771196,3.891009,4.011848,4.131500,4.250074
0.967182,0.882465,1.616364,2.054832,2.416193,2.727138,2.946906,3.039117,3.120428,3.213128,3.315218,3.423463,3.536210,3.652401,3.770390,3.890643,4.011009,4.130557,4.248981
0.968182,0.882550,1.616525,2.054700,2.415886,2.727087,2.948507,3.041444,3.122256,3.214517,3.316247,3.424085,3.535818,3.652272,3.769972,3.889797,4.010225,4.129899,4.246782
0.969183,0.882629,1.616666,2.054733,2.415760,2.726837,2.950390,3.043544,3.123977,3.215990,3.316608,3.423999,3.536317,3.652041,3.769823,3.887907,4.009087,4.128993,4.246183
0.970183,0.882693,1.616941,2.054769,2.415599,2.726352,2.951863,3.045474,3.125394,3.217319,3.317593,3.424660,3.536824,3.651785,3.769526,3.888144,4.008037,4.127842,4.245812
0.971183,0.882763,1.617147,2.054706,2.415322,2.726635,2.953175,3.048270,3.127590,3.218470,3.318762,3.425479,3.536866,3.651761,3.768949,3.887789,4.007442,4.126532,4.244451
0.972183,0.882851,1.617322,2.054633,2.414986,2.726322,2.954830,3.050404,3.129179,3.219570,3.319310,3.425614,3.536846,3.651430,3.768140,3.886687,4.006222,4.125133,4.242977
0.973183,0.882921,1.617522,2.054511,2.414713,2.726322,2.956496,3.052935,3.131069,3.221059,3.320302,3.426228,3.537079,3.651085,3.767774,3.886114,4.004973,4.124264,4.241924
0.974184,0.883002,1.617680,2.054571,2.414596,2.725806,2.957893,3.055257,3.132677,3.222459,3.321281,3.426824,3.537384,3.650644,3.767634,3.885532,4.003585,4.123268,4.240978
0.975184,0.883035,1.617931,2.054582,2.414380,2.726009,2.959374,3.057627,3.134604,3.223574,3.322230,3.427387,3.537635,3.649947,3.767240,3.884882,4.002282,4.121744,4.239917
0.976184,0.883142,1.618150,2.054526,2.414103,2.725887,2.960683,3.059871,3.136643,3.224742,3.323286,3.428096,3.537789,3.650352,3.766733,3.884367,4.002044,4.120396,4.238656
0.977184,0.883212,1.618330,2.054492,2.413877,2.725632,2.961793,3.062025,3.138411,3.226007,3.324103,3.428573,3.537892,3.650651,3.766197,3.883501,4.001632,4.119107,4.237283
0.978184,0.883275,1.618514,2.054448,2.413575,2.725368,2.963046,3.064371,3.140185,3.227652,3.324886,3.428879,3.537924,3.650534,3.765563,3.882563,4.000651,4.118372,4.235761
0.979185,0.883336,1.618734,2.054379,2.413173,2.725144,2.964441,3.066930,3.142127,3.229153,3.325966,3.429643,3.537953,3.650456,3.764835,3.882146,3.999762,4.117629,4.234195
0.980185,0.883416,1.618951,2.054259,2.413021,2.724664,2.965714,3.069377,3.143727,3.230645,3.326791,3.430173,3.538070,3.650515,3.764747,3.881400,3.999152,4.116840,4.232896
0.981185,0.883476,1.619093,2.054239,2.412846,2.724598,2.966662,3.071737,3.145622,3.232089,3.327121,3.430194,3.538533,3.650447,3.764593,3.879942,3.998223,4.115918,4.232108
0.982185,0.883505,1.619275,2.054314,2.412679,2.724597,2.967482,3.073705,3.147933,3.233364,3.328634,3.430960,3.539096,3.650106,3.764490,3.879523,3.996957,4.114838,4.231462
0.983185,0.883602,1.619545,2.054321,2.412404,2.724323,2.969036,3.076440,3.149828,3.234550,3.329935,3.432037,3.539246,3.649726,3.764011,3.879602,3.995655,4.113571,4.230076
0.984186,0.883656,1.619746,2.054231,2.412123,2.724051,2.969918,3.078830,3.151734,3.236050,3.330646,3.432509,3.539449,3.649947,3.763534,3.878840,3.995296,4.112080,4.228757
0.985186,0.883711,1.619939,2.054247,2.411824,2.723720,2.970886,3.081332,3.153532,3.237657,3.331851,3.433181,3.539668,3.650086,3.763028,3.878201,3.994658,4.110977,4.227431
0.986186,0.883778,1.620179,2.054181,2.411539,2.723443,2.971840,3.083451,3.155589,3.239165,3.332732,3.433879,3.539561,3.650152,3.762446,3.877827,3.993935,4.110452,4.225606
0.987186,0.883827,1.620329,2.054077,2.411425,2.723376,2.972970,3.086168,3.157815,3.240634,3.333456,3.433799,3.540274,3.650177,3.762568,3.876381,3.993169,4.109655,4.225154
0.988186,0.883867,1.620516,2.054185,2.411252,2.723167,2.973676,3.088795,3.159807,3.241572,3.335006,3.435034,3.540868,3.649634,3.762522,3.876107,3.991617,4.108532,4.224465
0.989186,0.883938,1.620803,2.054192,2.410985,2.722796,2.974258,3.091008,3.161521,3.243523,3.336094,3.435987,3.541131,3.649674,3.762135,3.876189,3.990903,4.107024,4.223184
0.990187,0.883979,1.620984,2.054154,2.410633,2.722331,2.975291,3.093464,3.163661,3.245039,3.337086,3.436538,3.541194,3.650054,3.761488,3.875340,3.990584,4.105885,4.221531
0.991187,0.884034,1.621210,2.054091,2.410420,2.722233,2.976024,3.095802,3.165649,3.246574,3.337806,3.437083,3.541463,3.649818,3.761196,3.874812,3.989437,4.105201,4.220234
0.992187,0.884064,1.621385,2.054091,2.410276,2.722008,2.976495,3.098413,3.167896,3.247856,3.339299,3.437785,3.542130,3.650113,3.761276,3.873765,3.989022,4.104384,4.219642
0.993187,0.884134,1.621623,2.054149,2.410067,2.721627,2.977556,3.100779,3.169378,3.249661,3.340514,3.438817,3.542574,3.649395,3.761111,3.873907,3.987164,4.103149,4.218638
0.994187,0.884186,1.621877,2.054132,2.409604,2.721116,2.978025,3.103538,3.172069,3.251429,3.341334,3.439489,3.542370,3.650200,3.760162,3.873584,3.987422,4.101129,4.216521
0.995188,0.884217,1.622081,2.054028,2.409482,2.721208,2.978454,3.105610,3.174216,3.252788,3.342252,3.439746,3.542930,3.650422,3.760133,3.872723,3.986899,4.101551,4.215548
0.996188,0.884257,1.622237,2.054064,2.409311,2.720859,2.979179,3.108342,3.175887,3.254268,3.343775,3.440853,3.543556,3.650237,3.760201,3.871948,3.985854,4.100413,4.214920
0.997188,0.884295,1.622487,2.054012,2.409044,2.720324,2.979639,3.110677,3.178250,3.255818,3.344772,3.441266,3.543843,3.650204,3.759826,3.871583,3.984873,4.099094,4.213527
0.998188,0.884346,1.622712,2.054079,2.408685,2.720269,2.980247,3.113026,3.180540,3.257657,3.345669,3.442345,3.543887,3.650530,3.759188,3.871404,3.984521,4.098381,4.211832
0.999188,0.884363,1.622916,2.053938,2.408668,2.720018,2.980809,3.115810,3.182179,3.258938,3.347307,3.442949,3.544919,3.650677,3.759681,3.870098,3.983879,4.097753,4.211646
1.000189,0.884426,1.623100,2.054082,2.408447,2.719186,2.980480,3.117677,3.184944,3.261044,3.348510,3.444145,3.545358,3.649848,3.759561,3.870348,3.981639,4.096227,4.210666
1.001189,0.884457,1.623391,2.054091,2.407971,2.719374,2.981642,3.120730,3.186975,3.262503,3.349019,3.444698,3.545518,3.651029,3.759095,3.870161,3.982515,4.095262,4.209152
1.002189,0.884476,1.623589,2.053950,2.407974,2.719060,2.981807,3.123058,3.189135,3.264360,3.350878,3.445747,3.546227,3.651063,3.759168,3.869607,3.981747,4.094806,4.208380
1.003189,0.884512,1.623788,2.054046,2.407688,2.718490,2.982171,3.125463,3.191268,3.265652,3.351961,3.446129,3.546531,3.651017,3.758735,3.869090,3.980658,4.093697,4.206829
1.004189,0.884548,1.624015,2.054063,2.407361,2.718368,2.982518,3.128041,3.193658,3.267665,3.353157,3.447372,3.547045,3.651224,3.758766,3.868634,3.980227,4.092738,4.206049
1.005189,0.884576,1.624244,2.053950,2.407325,2.718077,2.982657,3.130469,3.195994,3.269346,3.354588,3.448169,3.547717,3.651495,3.758740,3.868258,3.979684,4.092141,4.205078
1.006190,0.884614,1.624451,2.054108,2.407080,2.717587,2.983168,3.132871,3.197975,3.271047,3.355551,3.449094,3.548042,3.651548,3.758552,3.868060,3.978605,4.090519,4.203954
1.007190,0.884600,1.624722,2.054064,2.406649,2.717523,2.982850,3.135005,3.200407,3.272332,3.356909,3.449276,3.548261,3.652029,3.757690,3.867554,3.978549,4.090223,4.201700
1.008190,0.884662,1.624874,2.054100,2.406658,2.717137,2.983508,3.137678,3.202773,3.274535,3.358395,3.450562,3.549227,3.652122,3.758290,3.866647,3.977817,4.089599,4.201674
1.009190,0.884677,1.625148,2.054069,2.406354,2.716784,2.983582,3.140104,3.205143,3.276164,3.359574,3.451517,3.549579,3.651875,3.757979,3.866483,3.976755,4.088541,4.200392
1.010190,0.884695,1.625372,2.054073,2.406163,2.716443,2.983617,3.142322,3.207144,3.277840,3.360609,3.452378,3.550082,3.652327,3.757984,3.866073,3.976111,4.087288,4.199417
1.011191,0.884721,1.625601,2.054133,2.406000,2.716102,2.984007,3.144705,3.209679,3.279671,3.362168,3.453004,3.550486,3.652669,3.757382,3.866030,3.975849,4.086703,4.197658
1.012191,0.884719,1.625846,2.054127,2.405777,2.715853,2.984104,3.146503,3.211980,3.281685,3.363623,3.454289,3.551471,3.652943,3.758012,3.864971,3.975343,4.086252,4.197511
1.013191,0.884759,1.625933,2.054082,2.405616,2.715124,2.983616,3.149394,3.213876,3.283194,3.364579,3.455407,3.551974,3.652105,3.758103,3.864949,3.973416,4.085079,4.196768
1.014191,0.884734,1.626302,2.054192,2.405274,2.715198,2.984138,3.151531,3.216851,3.284875,3.365902,3.456001,3.551913,3.653535,3.757571,3.865109,3.973925,4.083212,4.195139
1.015191,0.884778,1.626515,2.054209,2.405070,2.714807,2.984208,3.153824,3.219030,3.287048,3.367572,3.456997,3.553113,3.653768,3.757667,3.864565,3.973394,4.083641,4.194079
1.016192,0.884774,1.626739,2.054133,2.404844,2.714250,2.983881,3.155985,3.221430,3.288792,3.368839,3.457840,3.553490,3.653648,3.757481,3.864031,3.972641,4.082517,4.193034
1.017192,0.884793,1.626989,2.054204,2.404703,2.714088,2.984153,3.158079,3.223872,3.290602,3.370111,3.459012,3.554086,3.654240,3.757725,3.863901,3.972095,4.081470,4.192347
1.018192,0.884808,1.627208,2.054252,2.404382,2.713805,2.984174,3.160518,3.225857,3.292640,3.371765,3.459879,3.554939,3.654683,3.757472,3.863763,3.971822,4.081216,4.190772
1.019192,0.884817,1.627407,2.054096,2.404360,2.713074,2.983875,3.161899,3.228930,3.294174,3.372929,3.461220,3.555751,3.654250,3.758001,3.862791,3.970920,4.080639,4.190696
1.020192,0.884791,1.627630,2.054310,2.404069,2.713163,2.984182,3.164849,3.231056,3.296356,3.374291,3.461760,3.555578,3.655187,3.757591,3.863423,3.970207,4.078550,4.189296
1.021192,0.884819,1.627910,2.054318,2.403789,2.712736,2.983658,3.166323,3.233730,3.298421,3.376052,3.463045,3.556961,3.655671,3.757627,3.862879,3.970267,4.078969,4.187953
1.022193,0.884817,1.628114,2.054269,2.403658,2.712320,2.983899,3.168738,3.236223,3.299946,3.377092,3.464094,3.557574,3.655327,3.757731,3.862530,3.969390,4.078125,4.187321
1.023193,0.884801,1.628354,2.054290,2.403433,2.711859,2.983698,3.170501,3.238529,3.301899,3.378706,3.464788,3.557878,3.656009,3.757643,3.861979,3.968966,4.076742,4.186244
1.024193,0.884809,1.628606,2.054369,2.403282,2.711569,2.983645,3.172706,3.241217,3.303982,3.380324,3.466246,3.558916,3.656583,3.758009,3.861898,3.968691,4.076646,4.185550
1.025193,0.884795,1.628757,2.054401,2.403143,2.711409,2.983620,3.174111,3.243304,3.306210,3.381623,3.467259,3.559483,3.656778,3.758186,3.862122,3.967255,4.075806,4.184885
1.026193,0.884797,1.629094,2.054481,2.402545,2.711003,2.982989,3.176695,3.246439,3.308029,3.383435,3.468108,3.560227,3.657542,3.757311,3.861837,3.967930,4.074811,4.182084
1.027194,0.884791,1.629300,2.054291,2.402759,2.710503,2.983345,3.177856,3.248155,3.309999,3.384052,3.469595,3.561192,3.656917,3.758418,3.861071,3.966957,4.074739,4.183076
1.028194,0.884771,1.629545,2.054534,2.402478,2.710361,2.982664,3.180224,3.251423,3.312214,3.386367,3.470101,3.561466,3.658256,3.757989,3.861489,3.966804,4.072934,4.181684
1.029194,0.884761,1.629783,2.054524,2.402300,2.709734,2.982723,3.181765,3.253608,3.314012,3.387629,3.471462,3.562339,3.658444,3.758393,3.860805,3.966299,4.072900,4.180911
1.030194,0.884735,1.629988,2.054569,2.402095,2.709523,2.982418,3.183495,3.256351,3.316086,3.389281,3.472496,3.562938,3.658915,3.758457,3.860919,3.965587,4.072139,4.179945
1.031194,0.884732,1.630267,2.054636,2.401858,2.709164,2.982480,3.185229,3.258860,3.318029,3.390846,3.473973,3.564129,3.659480,3.758650,3.860806,3.965516,4.071866,4.178889
1.032195,0.884684,1.630449,2.054604,2.401800,2.708995,2.981877,3.186518,3.261924,3.320479,3.392572,3.474812,3.564539,3.659700,3.758960,3.860867,3.964017,4.071053,4.178567
1.033195,0.884702,1.630767,2.054732,2.401212,2.708417,2.982130,3.188440,3.264019,3.321853,3.393849,3.476258,3.565711,3.660423,3.758378,3.860494,3.964937,4.070171,4.175968
1.034195,0.884645,1.630964,2.054624,2.401421,2.708267,2.981377,3.189275,3.267120,3.324669,3.395721,3.477480,3.566543,3.660536,3.759323,3.860450,3.964202,4.070063,4.176804
1.035195,0.884649,1.631246,2.054788,2.401032,2.707880,2.981535,3.191251,3.269785,3.326799,3.397245,3.478623,3.567321,3.661355,3.759487,3.860504,3.964004,4.069440,4.175814
1.036195,0.884605,1.631468,2.054735,2.400933,2.707507,2.980963,3.192596,3.272243,3.328720,3.398912,3.479640,3.567964,3.661751,3.759297,3.860390,3.963238,4.068451,4.174424
1.037196,0.884583,1.631719,2.054819,2.400712,2.707160,2.980847,3.193925,3.274920,3.330871,3.400615,3.480906,3.568862,3.662175,3.759394,3.860287,3.963062,4.067758,4.173923
1.038196,0.884539,1.631964,2.054792,2.400664,2.706871,2.980783,3.195129,3.277795,3.333176,3.402252,3.482298,3.569885,3.662879,3.759984,3.860201,3.963023,4.067498,4.173247
1.039196,0.884538,1.632223,2.055003,2.400352,2.706429,2.980548,3.196335,3.280548,3.335426,3.403522,3.483533,3.570763,3.663458,3.760025,3.860150,3.962717,4.066870,4.171820
1.040196,0.884469,1.632422,2.054813,2.400350,2.706172,2.979893,3.197380,3.283042,3.337021,3.405659,3.484047,3.570979,3.663407,3.760496,3.859793,3.961273,4.066265,4.171881
1.041196,0.884465,1.632722,2.055101,2.400052,2.705842,2.979952,3.198712,3.285895,3.339802,3.407020,3.486009,3.572496,3.664523,3.760358,3.860152,3.962039,4.065553,4.170515
1.042196,0.884420,1.632957,2.055155,2.399929,2.705474,2.979598,3.199752,3.288534,3.342029,3.408901,3.487221,3.573290,3.665084,3.760869,3.860006,3.961607,4.065062,4.170025
1.043197,0.884377,1.633180,2.055144,2.399725,2.704934,2.979097,3.200549,3.291290,3.344051,3.410569,3.488229,3.573845,3.665372,3.760935,3.859676,3.960871,4.064254,4.169027
1.044197,0.884337,1.633448,2.055205,2.399583,2.704662,2.978804,3.201496,3.294150,3.346377,3.412160,3.489572,3.574804,3.666018,3.761260,3.859754,3.960621,4.063922,4.167962
1.045197,0.884275,1.633706,2.055294,2.399445,2.704463,2.978641,3.202527,3.296801,3.348515,3.414128,3.490389,3.575548,3.666559,3.761726,3.859852,3.960165,4.063561,4.167687
1.046197,0.884254,1.633935,2.055377,2.399237,2.704124,2.978335,3.203263,3.299552,3.351094,3.415191,3.492459,3.577034,3.667404,3.761247,3.859995,3.960565,4.062311,4.166008
1.047197,0.884180,1.634213,2.055315,2.399107,2.703671,2.977869,3.204209,3.301999,3.352780,3.417728,3.493019,3.577494,3.667048,3.762411,3.859125,3.959830,4.062670,4.166334
1.048198,0.884153,1.634454,2.055489,2.398922,2.703435,2.977621,3.204324,3.305167,3.355713,3.418659,3.495078,3.578839,3.668600,3.761782,3.860063,3.959861,4.060781,4.165242
1.049198,0.884096,1.634700,2.055546,2.398736,2.702944,2.977180,3.205465,3.307473,3.357743,3.421082,3.496164,3.579751,3.668537,3.762841,3.859246,3.959706,4.061393,4.164732
1.050198,0.884028,1.634923,2.055555,2.398551,2.702601,2.976802,3.205912,3.310260,3.360152,3.422545,3.497539,3.580614,3.669431,3.762872,3.859557,3.959196,4.060512,4.163832
1.051198,0.883982,1.635189,2.055638,2.398367,2.702201,2.976443,3.206725,3.313110,3.362536,3.424564,3.498914,3.581677,3.670027,3.763427,3.859552,3.959126,4.060355,4.163142
1.052198,0.883924,1.635473,2.055666,2.398302,2.702043,2.976206,3.207300,3.316170,3.365076,3.426014,3.500473,3.582651,3.671126,3.763629,3.860166,3.958640,4.059680,4.162715
1.053199,0.883843,1.635737,2.055808,2.397945,2.701343,2.975681,3.207693,3.318910,3.367408,3.428569,3.501566,3.583758,3.671120,3.764340,3.859441,3.958999,4.059732,4.161504
1.054199,0.883802,1.635889,2.055719,2.398007,2.701414,2.975387,3.208420,3.321034,3.369557,3.429487,3.503264,3.584524,3.672564,3.764061,3.860430,3.957786,4.058439,4.161314
1.055199,0.883731,1.636245,2.055942,2.397653,2.700723,2.975033,3.208104,3.324507,3.372395,3.432293,3.504309,3.585780,3.672488,3.765103,3.859667,3.958614,4.058860,4.160253
1.056199,0.883663,1.636442,2.055934,2.397658,2.700660,2.974636,3.209159,3.327032,3.374317,3.433873,3.506065,3.586824,3.673756,3.765073,3.860413,3.957986,4.057932,4.159966
1.057199,0.883585,1.636711,2.056024,2.397418,2.700189,2.974208,3.209385,3.329770,3.376936,3.435859,3.507113,3.587732,3.673961,3.765522,3.859984,3.957941,4.057579,4.159054
1.058199,0.883513,1.636946,2.056095,2.397320,2.699940,2.973749,3.209703,3.332441,3.379496,3.437814,3.508680,3.588858,3.675003,3.765727,3.860361,3.957804,4.056955,4.158515
1.059200,0.883444,1.637255,2.056211,2.397159,2.699586,2.973533,3.210125,3.335148,3.382183,3.439672,3.510017,3.589689,3.675590,3.766566,3.860269,3.957862,4.057066,4.158030
1.060200,0.883342,1.637438,2.056263,2.397050,2.699311,2.972576,3.209865,3.337937,3.384784,3.441883,3.511993,3.591238,3.676826,3.766280,3.861120,3.957719,4.055560,4.157020
1.061200,0.883291,1.637789,2.056291,2.396873,2.698940,2.972804,3.210512,3.340933,3.386278,3.442680,3.513131,3.591204,3.677168,3.767590,3.860608,3.957012,4.056502,4.156907
1.062200,0.883179,1.638007,2.056451,2.396675,2.698505,2.972182,3.210826,3.343280,3.389887,3.445803,3.514725,3.593433,3.678115,3.767720,3.861259,3.957660,4.055527,4.155188
1.063200,0.883118,1.638297,2.056430,2.396626,2.698321,2.971903,3.210373,3.345902,3.392315,3.447630,3.516430,3.594349,3.679061,3.768361,3.861505,3.956642,4.055624,4.155517
1.064201,0.883025,1.638546,2.056518,2.396308,2.697739,2.971441,3.210930,3.348627,3.394672,3.449512,3.517426,3.595432,3.679515,3.768813,3.861293,3.957026,4.055274,4.154969
1.065201,0.882927,1.638785,2.056600,2.396263,2.697566,2.970819,3.211027,3.351308,3.397283,3.451423,3.519353,3.596523,3.680342,3.769221,3.861408,3.956981,4.054875,4.154397
1.066201,0.882846,1.639073,2.056758,2.396146,2.697278,2.970715,3.210713,3.353559,3.400076,3.453750,3.520988,3.597892,3.681370,3.769840,3.862078,3.957285,4.054504,4.153883
1.067201,0.882743,1.639289,2.056835,2.396031,2.696912,2.970216,3.211298,3.356473,3.402557,3.455739,3.522358,3.599132,3.682112,3.770443,3.862301,3.957249,4.054264,4.152965
1.068201,0.882642,1.639601,2.056790,2.395951,2.696725,2.969594,3.211259,3.359255,3.405529,3.457965,3.524310,3.600144,3.683200,3.770577,3.862545,3.955686,4.053889,4.153005
1.069202,0.882563,1.639879,2.057029,2.395481,2.695999,2.969548,3.210873,3.361632,3.408066,3.459515,3.525453,3.601232,3.683439,3.771557,3.862369,3.957196,4.053814,4.151637
